Country,Electricity from fossil
Afghanistan,45
Albania,5
Algeria,96
American Samoa,98
Andorra,61
Angola,34
Antigua and Barbuda,97
Argentina,69
Armenia,58
Aruba,87
Australia,72
Austria,25
Azerbaijan,84
"Bahamas, The",100
Bahrain,100
Bangladesh,97
Barbados,93
Belarus,96
Belgium,35
Belize,51
Benin,88
Bermuda,100
Bhutan,1
Bolivia,76
Bosnia and Herzegovina,49
Botswana,100
Brazil,17
British Virgin Islands,97
Brunei,100
Bulgaria,39
Burkina Faso,80
Burma,39
Burundi,14
Cabo Verde,79
Cambodia,35
Cameroon,52
Canada,23
Cayman Islands,100
Central African Republic,50
Chad,98
Chile,59
China,62
Colombia,29
Comoros,96
"Congo, Democratic Republic of the",2
"Congo, Republic of the",64
Cook Islands,79
Costa Rica,18
Cote d'Ivoire,60
Croatia,45
Cuba,91
Cyprus,85
Czechia,60
Denmark,46
Djibouti,100
Dominica,72
Dominican Republic,77
Ecuador,43
Egypt,91
El Salvador,49
Equatorial Guinea,61
Eritrea,99
Estonia,72
Eswatini,39
Ethiopia,3
European Union,44
Falkland Islands (Islas Malvinas),74
Faroe Islands,54
Fiji,34
Finland,41
France,17
French Polynesia,70
Gabon,51
"Gambia, The",97
Georgia,35
Germany,41
Ghana,58
Gibraltar,100
Greece,57
Greenland,51
Grenada,96
Guam,94
Guatemala,41
Guinea,33
Guinea-Bissau,99
Guyana,89
Haiti,82
Honduras,40
Hong Kong,100
Hungary,64
Iceland,4
India,71
Indonesia,85
Iran,84
Iraq,91
Ireland,65
Israel,95
Italy,54
Jamaica,83
Japan,71
Jordan,87
Kazakhstan,86
Kenya,33
Kiribati,73
"Korea, North",45
"Korea, South",70
Kosovo,97
Kuwait,100
Kyrgyzstan,24
Laos,28
Latvia,39
Lebanon,88
Lesotho,0
Liberia,57
Libya,100
Lithuania,73
Luxembourg,25
Macau,100
Madagascar,74
Malawi,1
Malaysia,78
Maldives,96
Mali,68
Malta,81
Marshall Islands,81
Mauritania,65
Mauritius,79
Mexico,71
"Micronesia, Federated States of",96
Moldova,86
Mongolia,87
Montenegro,23
Montserrat,100
Morocco,68
Mozambique,16
Namibia,28
Nauru,86
Nepal,5
Netherlands,75
New Caledonia,87
New Zealand,23
Nicaragua,56
Niger,95
Nigeria,80
Niue,87
North Macedonia,60
Norway,3
Oman,100
Pakistan,62
Panama,36
Papua New Guinea,63
Paraguay,0
Peru,61
Philippines,67
Poland,79
Portugal,41
Puerto Rico,94
Qatar,100
Romania,47
Russia,68
Rwanda,42
"Saint Helena, Ascension, and Tristan da Cunha",100
Saint Kitts and Nevis,94
Saint Lucia,99
Saint Pierre and Miquelon,96
Saint Vincent and the Grenadines,85
Samoa,48
Sao Tome and Principe,88
Saudi Arabia,100
Senegal,82
Serbia,65
Seychelles,91
Sierra Leone,23
Singapore,98
Slovakia,36
Slovenia,37
Solomon Islands,92
Somalia,93
South Africa,85
South Sudan,100
Spain,47
Sri Lanka,52
Sudan,44
Suriname,61
Sweden,5
Switzerland,3
Syria,83
Taiwan,79
Tajikistan,6
Tanzania,55
Thailand,76
Timor-Leste,0
Togo,70
Tonga,74
Trinidad and Tobago,100
Tunisia,94
Turkey,53
Turkmenistan,100
Turks and Caicos Islands,100
Tuvalu,96
Uganda,19
Ukraine,65
United Arab Emirates,99
United Kingdom,50
United States,70
Uruguay,29
Uzbekistan,86
Vanuatu,71
Venezuela,51
Vietnam,56
Virgin Islands,98
West Bank,78
Western Sahara,100
World,63
Yemen,79
Zambia,5
Zimbabwe,58
