estado,asesinatos,asaltos,violaciones
Alabama,45,35,29
Alaska,35,43,49
Arizona,29,47,43
Arkansas,31,31,24
California,33,44,48
Colorado,28,33,47
Connecticut,10,15,7
Delaware,19,36,15
Florida,48,49,44
Georgia,50,34,36
Hawaii,17,2,26
Idaho,7,20,11
Illinois,36,38,34
Indiana,25,16,28
Iowa,5,5,9
Kansas,21,17,22
Kentucky,34,14,18
Louisiana,48,38,31
Maine,3,9,2
Maryland,38,48,40
Massachusetts,15,22,18
Michigan,40,41,46
Minnesota,8,7,13
Mississippi,49,42,21
Missouri,33,29,41
Montana,21,14,19
Nebraska,14,11,20
Nevada,41,39,50
New Hampshire,3,6,5
New Jersey,27,26,23
New Mexico,39,46,45
New York,37,40,37
North Carolina,43,50,16
North Dakota,1,1,1
Ohio,26,20,30
Oklahoma,23,23,25
Oregon,16,26,42
Pennsylvania,22,12,13
Rhode Island,11,28,3
South Carolina,46,45,32
South Dakota,12,10,10
Tennessee,45,30,39
Texas,42,32,35
Utah,9,20,33
Vermont,5,3,8
Virginia,30,24,27
Washington,13,21,38
West Virginia,18,8,4
Wisconsin,7,4,6
Wyoming,24,27,14
